"id","slug","title","teaser","description","address","city_id","phone","num_stars","image_id","created_at","updated_at","user_reservation_id"
1,"overlook-europa","Overlook Europa","Overnat blot få skridt fra hovedbanegården, lige i hjertet af bystemningen og ved siden af shoppinggaderne. HAK restaurant og bar lever og ånder for kreativiteten, hvor musik og fotoudstillinger i kombination med fantastiske mennesker skaber et skønt underholdningssted.","HAK restaurant og bar sætter tonen for vores hotel, med dens indbydende hotelbar, sociale sammenkomster, kunstudstillinger samt lækre og opfindsomme menu. Kom og spis her, eller besøg vores bar. Dagen efter kan du svømme et par omgange i vores pool, træne i vores fitnessrum eller slappe af i vores sauna, før du begiver dig ud i byen. Du kan tage en pause fra det daglige trummerum på kontoret, og booke et møde i ét af vores 12 mødelokaler. Vi hjælper dig med at tilføje et overraskelseselement med en lækker kaffepause, frokost eller måske middag som en afslutning på det hele.

Fra Overlook Europa er du i gåafstand til det pulserende shoppingcentrum i Nordstan, samt de mere stille, brostensbelagte gader med caféer og eksklusive butikker. Uden for vores hotel kan du tage sporvogn nr. 5 direkte til Gøteborgs mest underholdende kvarter med forlystelsesparken Liseberg, forskningscentret Universeum og Verdenskulturmuseet i en og samme gade. Hvis du stadig har overskud, ligger Avenyn kun 10 minutter fra vores hotel med butikker, caféer og restauranter samt størstedelen af Gøteborgs natteliv. Når det er tid til at rejse, ligger hovedbanegården lige over for vores hotel, hvor du finder lufthavnstransport til Landvetter lufthavn.","Nils Ericsonsgatan 21",1,"+46 31 7516500",5,22,"2023-08-11 13:38:28","2023-08-11 13:38:28",NULL
3,"overlook-crown","Overlook Crown","Bare et stenkast fra hovedbanegården er dette det ideelle udgangspunkt til at udforske byen. Vi har fleksible mødefaciliteter, og der er nem adgang til Svenska Mässan. Efter en hektisk dag kan du sætte dig i spaen og nyde den imponerende udsigt.","Nyd en lækker frokostbuffet i vores restaurant Kronan Bar & Matsal, når det er tid til en pause fra dit arbejde i én af vores 26 mødefaciliteter. Om aftenen serverer vi en à la carte-menu, og efter middagen kan du slappe af i en af vores komfortable lænestole i baren. Hvis du føler, at det er blevet til lidt for meget, kan du råde bod på det på løbebåndet i fitnessrummet og derefter slappe af i saunaen eller sætte dig i spaen for at nyde den imponerende udsigt fra relaxafdelingen.

Overlook Crown er det ideelle udgangspunkt til at udforske alle byens hjørner. ""Shop'til you drop"" i Nordstan indkøbscenter, se en kamp på Scandinavium, eller oplev en koncert på Ullevi stadion. Prøv en forlystelse i Liseberg forlystelsespark, og glem ikke at sige hej til Lisebergs kaniner. Hvis du føler trang til lidt frisk vestkystluft, kan du bare tage sporvognen til Saltholmen færgeterminal. Der venter havet på dig, med Gøteborgs holme og skær.","Polhemsplatsen 3",1,"+46 31 751 51 00",3,23,"2023-08-11 13:38:28","2023-08-11 13:38:28",NULL
4,"overlook-grand-central","Overlook Grand Central","Vores New York-inspirerede hotel med en karakteristisk musikprofil. Sammen med Vasateatret er dette et enestående hotel med 391 værelser, koncerter, shows, restauranter og barer i centrum af byen.","I en af Stockholms mest urbane dele, hvor bylivet aldrig sover, finder du et lille stykke af New York. Fornem historien i væggene i denne prægtige bygning fra 1885, som tager sin inspiration fra teatrene og scenerne i dette kulturrige område. Det er et naturligt midtpunkt for events og sociale arrangementer.

Vores hotels helt eget teater, Vasateatret, er et storslået sted, hvor både svenske og internationale kunstnere optræder. Oplev det sidste nye, som Stockholm har at byde på, hvad angår musik og kultur. Det er også de ideelle omgivelser til alle slags events, fra koncerter og filmpremierer til konferencer og andre kulturelle forestillinger. Teatret har 800 ståpladser (470 siddepladser), og vores hotel tilbyder fleksible møde- og konferencelokaler til op til 100 deltagere.

Der sker altid noget på vores hotel. En energisk atmosfære i vores bar skaber rammerne. Restaurant Teaterbrasseriet tilbyder klassiske svenske retter med et twist, og i Teaterbaren mestrer vores barteam kunsten at mixe cocktails. De forskellige scener på vores hotel fyldes flere dage om ugen med alt fra akustiske optrædender til DJ-gigs, både store og små. En urban musikstil er med til at skabe stemningen blandt vores gæster. Fotografisk kunst og designudstillinger er også attraktioner, der er at finde overalt på vores hotel.

Denne klassiske bygning, som ligger centralt på hjørnet af Vasagatan og Kungsgatan, er hele 130 år gammel. Tog, bus, metro og Arlanda Express ligger blot få minutter derfra. Det samme gør underholdning, kultur, seværdigheder og hovedstadens bedste shopping.","Kungsgatan 70",2,"+46 8 512 520 00",3,24,"2023-08-11 13:38:28","2023-08-11 13:38:28",NULL
5,"haymarket-by-overlook","Haymarket By Overlook","Vores statelige indgang på Hötorget byder alle velkomne til at træde ind i en æra med 1920'ernes optimisme og elegance. Her i den historiske PUB-bygning kan du bo blandt torvemarkeder, biografer og musikhuse, inden for gåafstand af både hovedbanegården og den trendy Stureplan.","Vores restauranter er særklasse, med noget til feinschmeckere og festgæster, frokostgæster, kaffeelskende vinduesshoppere, entreprenører, der er ""væk fra kontoret"" samt krævende eventarrangører. Vores fleksible eventslokale kan være vært for alt fra modeshows, filmpremierer og store nytårsfestligheder. Interiøret kan nemt tilpasses fra mødelokale til et stort, åbent område til at skabe unikke events og sociale sammenkomster. Vi har også en lille biograf med mørkerøde, fløjlslænestole til unikke møder.

Bygningens originale karaktertræk, hvor Greta Garbo arbejdede i 1920'erne, er blevet omhyggeligt bevaret, gendannet eller genfortolket til de kommende 2020'ere. Den magiske og filmagtige fornemmelse står i stærk modsætning til de moderne og kosmopolitiske karaktertræk, hvilket skaber en ekstraordinær designoplevelse.

Vores hotel ligger midt i centrum, ved siden af biografer, torvemarkeder og markedshaller. Det blå musikhus i klassisk svensk stil fra 1920'erne er lige overfor. Shoppinggaderne Kungsgatan og Drottninggatan er også lige udenfor, fyldt med butikker, restauranter og caféer. Vælg enten metroen eller busserne lige uden for vores dør, eller nyd en kort gåtur til Stureplans natteliv.

Har du hørt udtrykket ""de lokale ved bedst""? Hvis du virkelig ønsker at finde disse skjulte guldkorn og give din weekend det lille ekstra, så er lidt hjælp ikke af vejen. Haymarkets livsstilsconcierge giver dit ophold det lille ekstra ved at hjælpe dig med at få bord på de hotteste restauranter, finde de der limited edition-solbriller, give dig adgang til en natklub, eller hvad du ellers kunne ønske. Tal med receptionen for yderligere oplysninger.","Hötorget 13-15",2,"+46 8 517 26 700",5,25,"2023-08-11 13:38:28","2023-08-11 13:38:28",NULL
6,"overlook-portalen","Overlook Portalen","Når du bor her, er du tæt på offentlig transport, så du kan komme rundt i Jönköping. Tag en tur til Visingsö, og gå ikke glip af Tändsticksområdet med butikker, gallerier og museer. Efter en dag fyldt med oplevelser kan du slappe af i vores Sky Sauna.","Slap af i vores Sky Sauna med udsigt over Jönköping eller i Nordic Wellness, som ligger ved siden af med direkte adgang fra vores hotel. Vi arbejder sammen med Karlssons Salonger, hvor du kan nyde fremragende måltider. Vi tilbyder mødefaciliteter på vores hotel og frit trådløst internet. Du kan også låne en cykel fra receptionen og udforske Jönköping og dens omkringliggende områder.

Overlook Portalen ligger midt i Jönköping Centrum, blot få minutter fra shoppingområder og populære seværdigheder. Gå ikke glip af et besøg til Tändsticksområdet med dets museer eller søen Vättern, med Jönköpings smukke landskab. Når du bor hos os på Overlook Portalen, er du også tæt på golfbaner og skibakker.","Barnarpsgatan 6",4,"+46 36 5854200",4,26,"2023-08-11 13:38:28","2023-08-11 13:38:28",NULL
7,"overlook-grand-marina","Overlook Grand Marina","Dette komfortable og renoverede hotel ligger ved havet i det idylliske Katajanokka lige ved siden af Salutorvet og Helsinki centrum. Der er masser af parkeringspladser.","Hotellet ligger i en smuk lagerbygning fra begyndelsen af 1900-tallet og har store værelser, en fredfyldt atmosfære og moderne mødelokaler. De fleste af værelserne og lobbyområderne har for nylig gennemgået en stilfuld renovation. Store, bueformede vinduer og høje lofter giver en rummelig og lys atmosfære i lobbyen, restauranten og baren. Om sommeren kan gæsterne også nyde vores store terrasse. Foruden hotellets egne mødefaciliteter tilbyder det tilstødende Marina Congress Center rammerne til events og funktioner for op til 2.500 personer. Der er masser af parkeringspladser lige uden for hotellet og i garagen. Hotellet tilbyder WiFi, fitnessrum, sauna og en døgnåben shop. Du kan låne en cykel eller stave til stavgang i receptionen.

Hotellet ligger tæt på Helsinki centrum ved havet i det idylliske Kajanokka ved siden af Helsinki SkyWheel, Allas Sea Pool, Uspenski domkirke og Salutorvet. Hotellet er et fremragende udgangspunkt til at se byens seværdigheder, bruge lidt tid på at shoppe eller opleve byens restauranter og natteliv. Du kan nemt komme fra det nærliggende Salutorvet til det omkringliggende øhav og fæstningen Suomenlinna.","Katajanokanlaituri 7",5,"+358 9 1666 1",5,27,"2023-08-11 13:38:28","2023-08-11 13:38:28",NULL
8,"overlook-seurahuone-helsinki","Overlook Seurahuone Helsinki","Et stilfuldt hotel i centrum af Helsinki. Seurahuones fascinerende historie inspirerer til eventyr i centrum af hovedstaden. Sov og spis godt i den luksuriøse atmosfære på det hyggelige hotel med en perfekt beliggenhed tæt på byens mange tilbud.","Hvis du sætter pris på stemning, historie og en praktisk beliggenhed ved siden af alle byens tilbud, er Hotel Seurahuone det rette valg. Dette fantastiske sted, hvor du kan slappe af midt i travle Helsinki, kan prale af en historie, der går mere end 180 år tilbage, luksuriøse, indbydende og veludstyrede værelser samt et værelsesudvalg, som dækker ethvert behov.

Nyd en morgenmadsbuffet og en lækker frokost og middag i den enkle, men elegante, atmosfære i hotellets brasserieinspirerede restaurant. I vores bar kan du fornemme fortidens luksuriøse atmosfære og mødes med venner til en forfriskende cocktail eller et glas vin.

Der er fri WiFi på hele hotellet.

Det er nemt at komme til og fra hotellet, der ligger i centrum af Helsinki. Hovedstadens kunstmuseer, shoppingcentre, restauranter med mere garanterer et besøg fyldt med seværdigheder og oplevelser!

Al offentlig transport er lettilgængelig. Sporvognstop lige foran hotellet. Helsinki banegård og metrostation ligger lige på den anden side af gaden, og Kamppi busstation er en kort gåtur væk.","Kaivokatu 12",5,"+358 9 6899 9035",3,28,"2023-08-11 13:38:28","2023-08-11 13:38:28",NULL
9,"overlook-rauma","Overlook Rauma","Det komfortable hotel med fuld service ligger ved siden af byens centrum og historiske Gamle Rauma med den smukke kanal. Renoverede værelser, en indendørs pool og et gratis parkeringsområde er garanti for et vellykket besøg. ","Overlook Rauma tilbyder sine gæster renoverede, skønne værelser og alsidig service med en fantastisk beliggenhed. I vores afslappede restaurant kan du nyde både morgenmad og aftensmad og beundre udsigten over kanalen fra den dejlige terrasse om sommeren. Børnene kan hygge sig i legeområdet ved siden af restauranten.

Hotellets relaxafdeling med sauna og pool giver mulighed for en varm saunatur og en forfriskende dukkert. Hvis du vil motionere, er hotellets fitnessrum perfekt til den daglige træning under dit ophold.

Vores lyse og praktiske konferencefaciliteter er perfekte til konferencer, events og fester. Der er fri WiFi på hele hotellet.

Det er nemt at komme til og fra hotellet, som ligger i centrum af Rauma med gode transportmuligheder. Hotellet ligger ved siden af Gamle Rauma, der er en del af UNESCO’s verdensarv. Dette område med træbygninger og små, romantiske stræder er det største og bedst bevarede af sin slags i Norden og en oplevelse udover det sædvanlige. Andre af havnebyens højdepunkter inkluderer de alsidige aktiviteter til Kniplingsugen, som hylder Raumas kniplingstraditioner, samt en tur med vandbussen fra Otanlahti til fyrtårnet på øen Kylmäpihlaja.","Aittakarinkatu 9",7,"+358 2 4808 1616",4,29,"2023-08-11 13:38:28","2023-08-11 13:38:28",NULL
10,"overlook-webers","Overlook Webers","Bo midt i pulserende København på hippe Vesterbro, hvor klassisk arkitektur fra 1880'erne møder trendy indretning. Her er du tæt på restauranter, barer og små designbutikker. Vi ligger kun få minutters gang fra Tivoli, Hovedbanegården og shopping på Strøget.","Vil du bo på Vesterbro, Københavns mest populære bydel? Så er Overlook Webers hotellet for dig. Her kan du følge med i byens liv fra vores cocktailbar Cube, imens du nyder en lækker drink eller en snack. Om sommeren er vores hyggelige gårdhave et populært sted at mødes med venner eller kolleger til en forfriskende drink. Vi arrangerer gerne dit næste møde eller konference i et af vores 3 mødelokaler, der selvfølgelig har moderne av-udstyr og fri WiFi. Vores hotel har et mindre antal cykler, så du har rig mulighed for at opleve København sammen med de mange lokale cyklister. Vil du have pulsen op, ligger vi tæt på Søerne, hvor du finder en af Københavns mest populære løbestier. Ankommer du til Overlook Webers i bil, er der parkeringsmuligheder i de omkringliggende gader. Vi samarbejder desuden med Saga P-hus, ca. 100 m fra hotellet.

Dette unikke byhotel ligger i centrum af København i bydelen Vesterbro. På hippe Vesterbro finder du alt fra gourmetrestauranter og barer til små, sjove butikker. Husk at lægge et smut forbi Københavns største turistattraktioner som Tivoli, Strøget og Rundetaarn, der alle ligger inden for gåafstand af vores hotel. I vores reception kan du købe billetter med rabat til Københavns bedste attraktioner. Vores hotel ligger få minutter fra Københavns Hovedbanegård, og herfra kan du tage tog til Københavns Lufthavn, Kastrup. På Hovedbanegården kan du også fange bus og taxa hvert et øjeblik.","Vesterbrogade 11B",8,"+45 33 31 14 32",2,30,"2023-08-11 13:38:28","2023-08-11 13:38:28",NULL
11,"overlook-copenhagen","Overlook Copenhagen","Moderne, centralt beliggende hotel med storslået udsigt til Søerne og Københavns skyline. Vores hotel hører til blandt Københavns største konferencehoteller med plads op til 1100 personer. Vi har parkeringskælder og Tivoli ligger i kort afstand fra hotellet.","Bo på Overlooks største hotel i Danmark, Overlook Copenhagen med i alt 18 etager. Alle 486 værelser er moderne indrettet i et city- eller country-tema. Hotellet hører til blandt Københavns største konferencehoteller og vores fleksible konferencelokaler kan rumme fra 2 til 1100 personer. Hotellet tilbyder rig mulighed for afslapning efter dagens oplevelser. Vores barista står klar med friskbrygget, økologisk kaffe i vores stemningsfyldte lobbybar, og hotellets restaurant ”The Grill” serverer velhængte bøffer fra fritgående, dansk Angus. Rejser du med børn, er der plads til leg og underholdning i vores legerum i stueplan. Hold formen ved lige i vores moderne fitnesslokale eller lej én af vores Overlook-cykler og oplev byen fra en ny vinkel. Skal bilen parkeres, finder du parkeringsmulighed udenfor eller i kælderen under hotellet. Om morgenen kan du vågne op til vores store morgenmadsbuffet, der er inkluderet i prisen.

Vil du på weekendophold i København, skal du bo på Overlook Copenhagen. Med sin moderne indretning og optimale beliggenhed, er hotellet perfekt udgangspunkt for jeres weekend her. Vi forkæler jer med middag i restauranten. 

Overlook Copenhagen er centralt placeret i København med naturskønt område, udsigt til Søerne, shopping og seværdigheder som Tivoli lige om hjørnet. Fra hotellet kan du gå til det meste i København, men har du brug for at rejse videre, finder du Hovedbanegården og Vesterport Station få minutter fra hotellet.

Husk altid, at du får den bedste pris på Overlook Copenhagen, når du booker dit værelse her på vores website.","Vester Søgade 6",8,"+45 33143535",4,31,"2023-08-11 13:38:28","2023-08-11 13:38:28",NULL
