"id","title","room_facility_category_id","created_at","updated_at"
1,"Elkedel med kaffe/te",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
2,"Fri WiFi",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
3,"Hårtørrer",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
4,"Ikke-ryger",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
5,"Luftkøling",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
6,"Minibar",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
7,"Mørklægningsgardiner",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
8,"Pengeskab",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
9,"Strygebræt og strygejern",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
10,"Fransk altan (tilgængelig i nogle værelser)",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
11,"God plads",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
12,"Balkon (tilgængelig i nogle værelser)",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
13,"Stol/stole",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
14,"Tilstødende værelser (tilgængelig i nogle værelser)",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
15,"Trægulv (tilgængelig i nogle værelser)",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
16,"Udsigt",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
17,"Separat soveværelse (tilgængelig i nogle værelser)",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
18,"Separat stue (tilgængelig i nogle værelser)",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
19,"Sofa med bord",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
20,"Badekåber",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
21,"Balkon eller terrasse",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
22,"Udsigt (tilgængelig i nogle værelser)",1,"2023-08-11 13:34:31","2023-08-11 13:34:31"
23,"Queen-size Seng",2,"2023-08-11 13:34:31","2023-08-11 13:34:31"
24,"Enkeltseng",2,"2023-08-11 13:34:31","2023-08-11 13:34:31"
25,"To separate enkeltsenge",2,"2023-08-11 13:34:31","2023-08-11 13:34:31"
26,"King-size seng",2,"2023-08-11 13:34:31","2023-08-11 13:34:31"
27,"Senge til 3 gæster",2,"2023-08-11 13:34:31","2023-08-11 13:34:31"
