"id","title","created_at","updated_at"
1,"Check ind: 15:00","2023-08-11 13:26:01","2023-08-11 13:26:01"
2,"Check ud: 12:00","2023-08-11 13:26:01","2023-08-11 13:26:01"
3,"Fitnessrum","2023-08-11 13:26:01","2023-08-11 13:26:01"
4,"Sauna","2023-08-11 13:26:01","2023-08-11 13:26:01"
5,"Restaurant","2023-08-11 13:26:01","2023-08-11 13:26:01"
6,"Cocktail Bar","2023-08-11 13:26:01","2023-08-11 13:26:01"
7,"Udendørs terrasse","2023-08-11 13:26:01","2023-08-11 13:26:01"
8,"Garage","2023-08-11 13:26:01","2023-08-11 13:26:01"
9,"Møde- og konferencelokaler","2023-08-11 13:26:01","2023-08-11 13:26:01"
10,"Ismaskine","2023-08-11 13:26:01","2023-08-11 13:26:01"
11,"Parkering","2023-08-11 13:26:01","2023-08-11 13:26:01"
12,"Roomservice","2023-08-11 13:26:01","2023-08-11 13:26:01"
13,"Cykler til låns","2023-08-11 13:26:01","2023-08-11 13:26:01"
14,"Fri WiFi","2023-08-11 13:26:01","2023-08-11 13:26:01"
15,"Vaskeritjeneste","2023-08-11 13:26:01","2023-08-11 13:26:01"
16,"Kæledyr tilladt ","2023-08-11 13:26:01","2023-08-11 13:26:01"
17,"Café","2023-08-11 13:26:01","2023-08-11 13:26:01"
18,"Morgenbuffet","2023-08-11 13:26:01","2023-08-11 13:26:01"
19,"Døgnåben shop","2023-08-11 13:26:01","2023-08-11 13:26:01"
20,"24-timers sikkerhed","2023-08-11 13:26:01","2023-08-11 13:26:01"
21,"Lifestyle Concierge","2023-08-11 13:26:01","2023-08-11 13:26:01"
22,"Wellness center","2023-08-11 13:26:01","2023-08-11 13:26:01"
23,"SPA","2023-08-11 13:26:01","2023-08-11 13:26:01"
