"id","room_id","room_facility_id"
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,1,2
9,2,2
10,3,2
11,4,2
12,5,2
13,6,2
14,7,2
15,1,3
16,2,3
17,3,3
18,4,3
19,5,3
20,6,3
21,7,3
22,1,4
23,2,4
24,3,4
25,4,4
26,5,4
27,6,4
28,7,4
29,1,5
30,2,5
31,3,5
32,4,5
33,5,5
34,6,5
35,7,5
36,1,6
37,2,6
38,3,6
39,4,6
40,5,6
41,6,6
42,7,6
43,1,7
44,2,7
45,3,7
46,4,7
47,5,7
48,6,7
49,1,8
50,2,8
51,3,8
52,4,8
53,5,8
54,6,8
55,7,8
56,1,9
57,2,9
58,3,9
59,4,9
60,5,9
61,6,9
62,7,9
63,2,10
64,3,11
65,4,11
66,3,12
67,3,13
68,3,14
69,5,14
70,5,15
71,3,16
72,5,16
73,4,17
74,5,17
75,4,18
76,5,18
77,4,19
78,5,19
79,4,20
80,5,20
81,5,21
82,5,22
83,1,23
84,7,23
85,2,25
86,3,25
87,7,25
88,2,26
89,3,26
90,4,27
91,5,27
